studyId,2022-03-01,2022-03-07,2022-03-14,2022-03-15,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29
syn11374333,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available
syn11374337,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11374339,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11374341,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available
syn11374345,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11374349,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11374353,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11374354,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Under Embargo,Under Embargo
syn11374357,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn11638893,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn11681835,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn12051335,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn17098100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn17100988,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn23651229,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn23662493,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn23664726,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn25881328,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn25999239,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
